Title,Link
England’s medical chief ‘backed Scottish doctor who broke lockdown rules’ - The Telegraph,https://news.google.com/rss/articles/CBMingFBVV95cUxPYjJMcGJCSGdaRVRleFU4Vi1PT04yajdhVWlObERycWJyNDJSd2pVZ1otaVRHYmphckc1ekIwS0VOeENyZEFlbzY2QWMzNlhBaHB6Q3MxVnRoLUZkaExWdW5zbzZPaHpkRk9nT0NSdmZpQVQ3Q0N2RlJlbnlCb251a3lmR1VfcjFhQzd1aTdscllOTEFqYWdnekNsRjhrUQ?oc=5
Wirral man sets up luxury hamper business during lockdown - Wirral Globe,https://news.google.com/rss/articles/CBMilgFBVV95cUxOU3I2M2NUTXZoRlYwaFNIY2M2RGVLUHFnWXdHMUlnaTlMNVhjT1ZiRE0yLVl1RUtpWjQ0WUdReGNzSzhSbC0xRXJwSW05aVc3ZEpzdmlPTmRsX0ZkWFRyTjFtZ0Rhem91X3ducXcyWGFwUG1YaElhbHJaMW9LNVZ6NkpkbXRQcmVTZTN4MjhyX2M2V1VVN0E?oc=5
Widow slams ‘betrayal’ of top UK Covid officials who urged Catherine Calderwood not to quit over lockdown b... - The Scottish Sun,https://news.google.com/rss/articles/CBMirAFBVV95cUxNdXQ5OWdoYzJ0eHRFQnY0VGJESVFsS1IyV0h4UU9nVDN3Zk1kbzVVX0ZoZTc5S1o0M2xrQU4wb0tDMDBMd1huUllLOEhySlctRzFCZTNGWS1LWUxNS2FlYlhFZU5tMXRaa2h3MzljXzRUaDMwTUtmR3JUelRpWkthRFFlbHpYUC14UGZVVFMzSGRQNkYtb1dzSGFHdTlwWnZHa2VuZ2dLOG9FcEh20gGyAUFVX3lxTE90YmcyQndpS3FvNkJLX1BnQUZCeFRBVkJUeHN0Sm5MTl9DY1FNNFVLNGtITnVtZUlLd1dMSnhaN0NXVjJhOHZSalhOSllrYU9hQ2ZlTzVXR0dfWEpzVmJFMHJuMVljbDlmckd6b3RuYWF1eG05OUlpUExRQ2c1OFpoY19wNjRQVDFZeGVaVG41endIcmZIMTF2M21UemdxdmFJMkpQMzQwRUswdTNCVF9uT3c?oc=5
Lockdowns and school closures are slammed in bombshell report into Australia's Covid response - Daily Mail,https://news.google.com/rss/articles/CBMiywFBVV95cUxPV2JaUGdZT1dDV2NhVjQ0Tmh6bmtlcXRyUDJoc1lHNUR3cWQ2UDUzS1o3M1FBOHpjdFhqV29jb1NsNDJCU1pSVExXX3FsMjY4R1N4QXhGNGZsNkJ6S1R5bHYxbTd0WUZCRmRIdU9xS0xtcXQtWGQ0Z053eUJQb1plTE5pQ1o0cmx6RUU4SmIyYUg0ekVHWkwxdUkxNGtQa3R4b1pUWERwMUFOcmpoQVVJTHc1Qldrb3drdjN4Z2ZwMXpzb0ZnZVUycEhqY9IB0AFBVV95cUxPRlRFakw1WkFmclVPRHBwN0xhVW1NaU14bjREQTBDcU5qVkdlQ05MR2tIYy1zY0NiaWpreXQ0Y20tY05zZUxvdzcyTmtKVDJkeWczT1R4OFQ0LW4tXzJvTGtVVUtidGM3VExYMWZVcXdHb2NIZElkSjkwS1EtRVdhX2hSalR1Uk9qanBxZXZjdmk2c2xha1BnN3ZjTlJaaVJEUWRQc0Z4NnJKVHVwUldiajBwUWVsS25yeFFaQjZxbVp0TW4wQzFNanVsa3JHV3U0?oc=5
Boris Johnson denies mocking public with claim they 'avidly craved' lockdown rules - Sky News,https://news.google.com/rss/articles/CBMirwFBVV95cUxOT1hMV3hJbEZrd0J0X2tTSDNwU1ZtZVZjRktuWU9WZ1JCWTRNTHl1T2w1NFpGU1BQV2pmY2hWZ3pfSUpLTGNhRmt6aVhFaDFlYnktb203aUxkVDRacG1zLWxpd1A4VUFpU09oUjVfYkFfdDVJRUZ5cnlrdGx6emlYS0xtbFVUU0NSU0hkVjdtcm5CUVNBdlhzaWlsNy1lRGVsNEl5SlRza1VEM1FVZ21N0gG0AUFVX3lxTE9IY3RLVnptLUFBLUd3amQxcmh6NnBOMmpYUVAtUU9EVlpEVzFpMFF5RjZhWlBoRGZYUWJrMzlZdWVkUERyd0pFVElHcU9oc1Q5T1JfcDk3ZjBNaVNJZVNjSFEwZHlxZGJWeExsNmxXMklncm9PV3NKandfUTNxWmhyWVVGZ1lTU0ltWllSamp0VV9rZUxPWnVEbFQ4Qm5fVWVZc2lGUjlwWmoxbl9WdS1fZXBjTQ?oc=5
Passengers 'suffering from deadly virus with no cure' spark lockdown of rail station - Metro.co.uk,https://news.google.com/rss/articles/CBMirwFBVV95cUxOeE9PUmtudDhDNkszR1d2MnR4SGRidWY5RWowOS1XQm0xOEpLMzNub0h5eVlJYm5tODROa214QUtHc2owN3E5SEJ2SnhSZktBODhfY2RYMVdfNzJWNGlIZTEzZnR0cG5FekZVaGh3bjNZelJmbHE1cTNkVTEwTklqXzNtR0pnd3lfNWUyVWQxVkY5aVBKWWhKTWlhQXhQX1RsdUp3NzF4RkV3eVc2djNF0gG0AUFVX3lxTFBobXRyTHpkOEFnREhfTXkwbVRZM2lsZUVXMXFSdHRLa2FLV3VFaUwybW1McTg4VElwWWk1bVpLMUo0cHBnam95cWZrLThwb21lTnlacWpSN2ZJc3pEVE1iaU9EaF9xa01SSUlvdFhobl82Z0FweWNMOXoxbEIxQWQ1NkdjMzFscFYwWFNxR2FlcklXNFZqOHE1aHJFN3htR2J0dGo3aHA5czhTOXJkekoxSjIzZw?oc=5
Hurricane Milton: British family in hotel lockdown in Florida - BBC.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1Hb0EtUElkelBzZms5TDQ3QTlaSTJiU0JfbzEtdndUNDJnVUNIN3FHdVhDU3lmNWJfR3lHbEFtUU5rN0l5YUhLdGF3ZG5KaFZRaldlZ0lGYWVCUdIBX0FVX3lxTE4yRV9xMk9CUlZFbUpLVzAxVWtYcnNkczZkMEZCREFTOTBmU0lURHNvcEJhU3BGVmZUSVlqWkY2QW8zeXJqa1NvTl8tR0dFZUIzaTMwckR1X2lXeF9FRDJn?oc=5
Hurricane Milton latest: Storm surge could be 'worse than Katrina' - Daily Mail,https://news.google.com/rss/articles/CBMilwFBVV95cUxOZENCSjdrRTJCd294ZnhDeDJXaVhBUWpHdlNuVWZ4Ylhickhva2wtMVNJVC1tT0dzNG03cS1zMjZaSUh6cUlqX21TQWdjSWZrZ3Q2S2xISzB5RDNpaDBXeWNMX0VNS2JwMHRHSzBNb1pqY1Q5enZDRlQ0RzBzQkVRa0owQUpJR3BTSTVHWTBmUGtXcDAzcUhN?oc=5
"Man, 34, who contacted GP SIX times during Covid lockdown before he got face-to-face appointment died of cance - Daily Mail",https://news.google.com/rss/articles/CBMilwJBVV95cUxPVFFNTF9RQ1pTa3ZsNG9HTnVtaTNfLXJuMm1QNTJZU0dIc19qWi0waVNqSE5iRE5ja3p6akhBVWgzX2Q2ZlBCSXBoSEFKUlU1dzZGT2xHVE4xaVJ6ZkdGWkJsdFY4MG1kck5ZSGFJNS1MaEZRYThxQTBwZGF6YmNWTzlHQW45Z2RsdHcwTFQxWU5GRG1oOUU4R3N2cEZYb1U1aTBHaDcwaElpbExwVGYtV2dfTjJtUWdUNDNHM0ZLVk4xbjB5NGdrSUU4SXV1WFVPa25NT1d1YldkWkdKR1BBRWFUeWllckZtNHlrazUxNGVQV3lLdTB6OWs3UGowMzRXd25TTjNBZVg2SHZ5SHVCNUVpSFRqUDTSAZwCQVVfeXFMUEJKcEVabkZ1b3JyOXlGN3RBQmE1b1A4Wml6bFNEbHNJNm04ZlY5NGpIQ2d4c2ZlNklFT05zTE1rektUaVZWR3hna3NLNWJYNXR6V1hLUGpGUEhTWXNOZlZDeXVDVDlmaWRkRmpYYVA5bTlkVjhUR29uRUppeE01b3o4cF9vb19aN0oyUC01a2tuMjlKaUEtaUJ2R2hSM3p5TDhZdDB6UWJVUDVwN2p5YWdWRUV5TTB5dnpGbWN0OFJRVDMzNkFfTFFlMkZUdENWZWdaaUQyaUZMT1FHRHpXWnBDcTNueGwwaHN1RHRRaEpwanBKc0doTk5GMUh1RmdDamE1TDhDd3lJUFYyR3luVEVWWW1zSFVJcTRDREE?oc=5
Atlanta Four Seasons staff reveal what caused shooter to open fire from midtown hotel balcony as bloodied susp - Daily Mail,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQdTZwZUJyX3JMZlpub1dodTdUT2t3UnZvcGRNb0ROcngwUHZFaU9PNjEzcjBMeGNuSXdHbTNOUFk4Z3N3VVlJMzI5b0tiLXVNdmFodmdOZ1N4QjVidm1aVVZPdXFvUUVnZUExRjNJWmw2d2pXa2Q1WkQxRjRKTGNEZU11QW5sSWw5cmNhekZGNkZFZ3dUemVyd21hM0JOTndXaGZOYXhDYWRibkXSAbABQVVfeXFMTnFuWXZzRlNrZktCdkMzWV9vNk1DLWdMdW9HTVZVTkRfRUNWbjlOZ3h2VjNlV1Z2bXdOWmFvM2F0NTBaX0ZXS2pCOVUyYjhuV2dzeVNwcmI5cHFPSkJaS25rOE5RVGhqRnA0aHd4VjV2NVdKZWFjSFBNbG1MMm44NWNZNFJDM1p6U3doTUlOZmFKU3RmUWFmbXRtdUdZZkJra09xdXFYZldoYjV4ZXktOTA?oc=5
Broughton High School goes on Code Red lockdown due to report of suspicious person - ABC11 Raleigh-Durham,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOZlBxSWlWVVBuRVFOT1RGQkxhc1AwMzJPOUd5UWFQYjdjUm1UWExGbTUxYTZYdzhycFNsaTZWSG1Wam5JODNCWGlnUmlPQzhucDVRQUd2dEozZTl6UHZ1TEtYelUycEI1MDloeGpFT0dMR3pzbDlwNlJwNkdub2lqMkppNkxQMHVNRnVMeFBrV3FXOUN0YjJTUjBnYlA4ek1XX2tNNjMyWmVEQdIBrwFBVV95cUxQOVNWeG9tU05RWkRhNjVWNm9Lc0RXOUxDZjlHNVlyVlJHVXVhNDNHQlg2bS1VOEF6cGdUOVoydGUtdzFWYlhPS0pfcHllQVJseXNSZDJFOVNNQ1owMXM4R09YVGpDZTVIMkVNUzVsVnlTLWVrbVd1eW1hVF9fc0JNYlJZNGZDVzBNQndJR1NVN01EdU82UTFYblVJQ1Y5Qk5VdVA0NGJDRHJPbXVzSTlB?oc=5
Bracknell pair jailed over dealing cocaine and MDMA during Covid lockdown - Reading Chronicle,https://news.google.com/rss/articles/CBMimAFBVV95cUxOTEdWZ1RRTlhobmpPQTB1eVVvZVFucmZJeWlOWEYyNVF0WjFVenEzT0syWlpCemlUTnJPSjFOejBWVTBnLUtTaHhCOVFSQ3QtRmEtUGY3aFlPUjBsRVFPOThXTDVTdVh0NGZ6X1ZoZHlpcWFvSm5aM0dmM2Z3S2gxb0ZtdmxVb0w4dTJJQUxkVmxpUktZaERCTA?oc=5
Catherine Calderwood's 'ride it out' WhatsApp message revealed at height of Covid lockdown - The Scotsman,https://news.google.com/rss/articles/CBMivwFBVV95cUxQbmRQTW5oeWVRdXdtdTFkX2ZjSmNINmplMDhZLVN4NjczTjdGVzFDZjQwLU12d01KdHFvT1FXTnBycjZ3QVVfdEhtam0xUzZVeURpY2lEckVVVk5GVXVxeG9ocWVXYnZUX0pTUDJCSVphbmlLel91QmtMcXQxMmJDbzRtZXF6cGViNndEZUsxSFRsSjFiOGpndHhkWEFMUEhfbmNxb1FLYlBsZVpzRWVBcldGTy04NEpNVG9Nd3hRWQ?oc=5
Birmingham Airport lockdown lifted as full statement issued - Coventry Live,https://news.google.com/rss/articles/CBMiowFBVV95cUxNTWNlVW5ITmlIaHJ2blZoaUdjQXJiRzZ1SG0wbHA0OTA5eEdjVFpKdkxGR2gxdkc5d2VCck54Q2hlLXZnbDhPeUhBenpXNTA1Wml6cTNNU3dvSDlSdEliSmp4aUJCRnBzZEs5U3pFMjlwVDB0c2FiZnNVdklKVVYtV0pJUEZONXRKeVItRi0tcDAwSG9vUzRrX1NxdlY3b0pFVjVF0gGoAUFVX3lxTE40Uk1qSGRBNVJyQ3BCNzQ3R0d0eHBrT3JKN2Zsd2F0ek9FTjA1YXZnTG5kS3lIRGY0aDNTVjY2cDU0RTRXMXJOdjBBWWZrM2NsMEVfWUVZUW9pOFVUNDhpcnhrS2VTLXFKWnFVRm1kQzl2WXJwMmRBdXEwUy1Edmd3TllsRDZNWUtLSmFqUG0wdDRkRFZnUV9QSzEtcmtKSll3ZlBYdjJ3SQ?oc=5
Calderwood messages reveal ‘attempt to ride out’ lockdown breach - The Times,https://news.google.com/rss/articles/CBMitgFBVV95cUxOQUFHUlVqa1JubW5TUVUybG42Y2o4eVlBaXpYUVRaQTg2am9nU2ZhR1dHUzdzSzl4TkVxSlpSQktXcVpSS1FQN3VNcWlMTi1OdkxXOXdQRXlyVjZWQkxtcmRVV0xCYmdjbnRpbXA4Yk1nQ2VYYVVseUFTU0Y0T3AyeG9wX1lIdW00R2tCNU82MlZQV2hUR2xIZzk0eVJlc2N2M05zckdkVzlPVDRxS1JqLW5wczRQdw?oc=5
"Lockdown generation consigned to the ‘scrapheap’ will get life-changing support into work, vows Minister - GOV.UK",https://news.google.com/rss/articles/CBMi1gFBVV95cUxOTWNnZF8yWHQ2cnRZdW1VQUJMNUg5dkpQNmZxYVpmLXp3ZndBVGJVUXVPQXhBU2lubGtTcW93MWdoWU5SZ2djYU5FQUJtWjVsaF84UUc0OUJXUHQzWFJ4ZWFoeDhyWE8wM3lQMkRQTWw3d3R1QkpVRllBU0lVd0pUZURFMFBnbUItNFV5RE52WXVOSWlMV2dDMF8yNG5GTWNMNDBnMW5GWGN5RWw0OC11Nkg5dXFjMERMMGhfUUxrYzQ5QzEtT21CLWw4NFBkZUJFcGttTkNB?oc=5
Coatsworth claims vindication over pandemic lockdown warnings as Sutton admits mistakes - Sydney Morning Herald,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNX0hQLS1JUENtbzRueXppZ0s5ZjlEMnlBUzc4YXF0bjc0YlV4bnplcG5xa3VES2N2X3UyY0VoV1BvVmFBUUdnMnZUY2hza2ZjWF85eHVoQV8zMDRJVTY4cW9mTThXVHVrZHRvWHhFTFZ5ZDlQLUlRQjE3cHl3bW1MOW8wblV3VlV2STZlbWpVRDRORGlidlktWnJEakxNcmMtcVZWekZxV1pYQUZCN1dWQjRpU0dXdkFacjRfX2dhSXZRV0Z1SUI0bzd2SE9qVzI2X2hVOGo4ZTZCQlJoWTVYRTRR?oc=5
"Oxford High School placed on lockdown after 'swatting' call from Netherlands, officials say - WXYZ 7 Action News Detroit",https://news.google.com/rss/articles/CBMitAFBVV95cUxOZTQ0ak5WY2M5SGR1a0V3aEV0M2N5X0FBSkFfOUVFcGtxUnRncmU1OUNuaW1xRXRXazVmajNZaTdCM2tIT3MyRkpjcEpVSEd5OEtaVk1iLUQ5QjBoaVdtREY2NjJlcmw4T3Zlc3BvYVd4UFNnVzkxQVc4STNSSnhFVXZ5YUJ0NGtuSm5hSzRxR21KSk50cHNyQkQta1NSdVp5Sl9XNnAySVlMaDBBZlZCY3lmZlM?oc=5
Broughton High on Code Red lockdown a day after student found with a gun off campus - Yahoo News Canada,https://news.google.com/rss/articles/CBMifkFVX3lxTE5hUlpYRUF1dlFScU45SWJJM3N3NFg2VFhkUFZOZEZURnFhaUpzZndaSklQUW1IX2k3MmR5dDFESTVjQ3ZjY1BMaGkxWDQ0QmVfTDVuOUNYVGk2ejJBRWV2VFAyZTJSeXo1b1RfbWk0a29Pd1g2cXVieHRaOElYUQ?oc=5
Week 8 Lockdown Report: The NFL's best defenders at preventing separation in coverage - Pro Football Focus,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9YNjVrS3NDeHZMbVhkaDRPOGppZ3ZhY1d0R0FKLUtIOG9UNWNNNGJOd0lyX2NBT1M5Ti1xZmJuS3VtLV82SkhYS2VReVk4c2V4OHNueWttX2R3aEpPLXd1eQ?oc=5
"Lockdown babies at risk of being failed by NHS, watchdog report warns - The Telegraph",https://news.google.com/rss/articles/CBMiogFBVV95cUxQemNrNndKdDhFX2FGRER1WVRZbmpuakxEY3lDRlV3b1BQLVU1QkM1MlVzZnVKSDJwRTg4Y05RQ1hnYkxUaEx2cmI3d2lvbVNiVENacGJxalNiZ0pyX053TEh3ZEdvZU5GNXRBbkVWU2kyYkY4Y2I2cVA1WnE3NHFqSGVJektjVFk5ZGNaeE40alZ6TlBheHZqTXFWbThSaVBjWXc?oc=5
Top health officials lovebombed disgraced Catherine Calderwood with gushing tributes after she quit over... - The Scottish Sun,https://news.google.com/rss/articles/CBMioAFBVV95cUxPYmYwOTJmcEEyUENjZnpLTjFIcEJlRTBobjZWV2p5eEpqWmVHMmEyMTRCSmIxNjdlcERoSEtBMVh0cENXLUhIUzNBVERHX0VMUTl4ekplcmp2bGlySU12TV9zRVBEWlJIN2x4ZlFOczRvbVRyOUh5a05EWnRsYThzZHNCa3FkUGgzN3RGTGJnZDFwaFY2cVd0ajB4S05XODhl0gGmAUFVX3lxTFB6bXFvU3hUY3VaT1Uya2xZQTc4N3laXzVLNU5yeEx2bHZJWHBhVWZPTk1jYzNNRlFSOUpDcWowSGM4ejBXYjk5OTBCSXhoSUxScExVU2ZLQXloQ2Z6dzY1Sng3ZnRYTzFfUTJHTDhYb2RLeGI4c0tjRzFZbzF3c1RhclJLYlBFd0NnZV9tSmZUSl9BR05rbS1CVHNlNzctVmxRd2V5c0E?oc=5
These four heartbreaking words show why we must never do lockdown again - The Telegraph,https://news.google.com/rss/articles/CBMipAFBVV95cUxOdndHbGFKVmNnLUZFZHVvcWRMVFZlRHdPNHFoeTlfV2VfbUNRNUJYNHByWndCS2E0ZlNObF9qMk5CQjVySU5EQ29xQVF4c3NqanFoeXl4U01MQmRvNF9HTDFTcjg1SVZWejBGNVVuRnoxMGJKb0RTYzRKNlRMRHBmNVI5TC13ZDJSOTRQdjlIeDNDZlVMa2xBM2ZMb25Fb3BIX0FDVA?oc=5
Sir Chris Whitty is accused of 'obscene hypocrisy' after supporting top doctor who breached Covid lockdown whe - Daily Mail,https://news.google.com/rss/articles/CBMipgFBVV95cUxQUVlXV1dCN0dLMVdvQVptWkEyc0hNZHE4TDdVTGFCRTJDT3hmX1Z1c1ZpNV9fUmJrcWVIVVdJdmo2OTFTNXlqcWFPSmtlQWtod0JCSk5lYm9zSThqcjFFTjNlVmxERmt0MDYwOEs0UV9nTTBldXYwY19pN0R2Zld4SnZxSFNrcFNUN3BEOFFaMEdId0J1LWs3V3BjSDllYkhjWEo1cEF30gGrAUFVX3lxTE4yMFRFY1R5RGVZLTBiNmxGNDNGLURrdGZ2ZnBuUUhzQkNqMUJrU3dqdm1DbzR5THhpQkt4dU9jakJyUXFxLTczT0N4a1NiRmtTRGZtb0MxTXFsaWdaNlQ0VXl6dWpOaEp4aWtabGxUSml0YzdualBudFBMOC1NMi1yeFBZUmloNkVKZkRrTlhQVTF0YlV2aW1vYnB3SWotR0l1RDR3TmZIU2JIOA?oc=5
PGA Tour pro makes outrageous Hideki Matsuyama revelation during COVID lockdown - Golfmagic.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNT2ViWlIzaWJmbU1tYTM5WFJ6cVcwSmVuQkxkTWhwMXplaFlEN3NRdU5hY0JQalFSR2VGbm5hRkQxRll6Nzg5WFR2TTZJSC1zNWlzMlJJQWcwNTluUmY0b3VLMG5aalk3Z0xoRkYxZGoycy05WjhoSzB1QzJxcjlSb3NnZVZ2ZFVnWWUwSWtmZ1QzY29haFlpd2RKM0RkcVR0blI4VTQ1Z0V3cUJaQWxOSDd1TUFEeHBDUWk4?oc=5
University of Bridgeport on lockdown after reports of shots fired in dining hall; 1 person injured - ABC7 New York,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOMnZYQkxZM1hzaDhPb1VHeFM2SWNDMG1vdXRqcU5PRmVqOGtfcnFfMmdNV0diR2Q4LU9COTY2ZnZUX0U3UmxfTjg2a0RHYWFfSUNoekdYdGlIRkF4Zkdad3FBWDJyY3hMVDdXMDMtRXkyUDR5VnJ6LTNYSFQteU1mOTVfdHBIT1FWVWVWYVBxcE9uaFhJenB6b3oxTmRQSkJDWlVNaEF6WXNZelI0c2Uyenc5MVdxSG1CLTBJ0gHAAUFVX3lxTE9VZ0VoU2l4dlhVZ1ZMMHgtVGVZZk9GbUpleEt5TkZ2RzVOLXZreGh2dDR0V193emhtS2M4VVBFTjhiVnozWVZhY0laWGlYa19RYWdwTmpERDlLS001T3NldTM1OWpTRDd0UWgyRWM3clFVUTBYZVFQd3ZseTU2WlN3S1hlTUthSFJhX0hBdWlneVEtV0QybTVVNUJXWnctc0lfNWlHaDNEX0p5TDBYRElpcjMtMVJXXzlFc3VfLVZpbg?oc=5
"Code red lockdown at Broughton High ends, police find no weapon on campus - WRAL News",https://news.google.com/rss/articles/CBMirgFBVV95cUxOWndPSVFFd09HeGF5Y0hUTndfUjBtSThlMVVNOXlnUEVYWF9nTEd0bGlWVWU1SXVUTFFrRDJrOEVCYjVXMTFrVDNmMER5ejdHTVUyN1lybTIwd0VuRGtYejloamVzNmVXYmtNd2NVakRhUmNtUnlpdHEwVU1FZVp4X01fVXdEYVluLTVWYlF5VGpseExQclpqWmVhUm1lOG5QZlgyU25rRktTeUZraEHSAUpBVV95cUxOOG9OaFdJR1dQaUxuN3hsWnNPTllDeU1zUWdoNE5HME9XUjc5R0hoNkJrUlJ0NEhSRmdlVGNBYzMzdGFnYl9YNGRxZw?oc=5
"Oxford High School placed on lockdown due to ""swatting"" call from Europe - CBS News",https://news.google.com/rss/articles/CBMikwFBVV95cUxOM3ZndmpCUnhGbEFrNzdxcmRkTjBxVGdfZjFxOEJ0LXpNblJzamZjc0FlSUpjLTJwTTRSa1UwUmdrZ3Z4MGEtUm5rQlcwVV9fVGY3UXFnbFNKRko0YUR0RW1OV043a3VDcVpjRFpXX0tVSDZKYU0zcF9WYUhtWUhTa3ROdHE0MEN5MWVXWTRHRVhDR03SAZgBQVVfeXFMTVdTdXMtdkZ4UDlPclhJV3NGWF9lbXJ6d3dYX2JibDBWY05pcjhmMHhQeS1KbGlsYXJvbFRHTnd2cGpHYlM1Z0hKS1FTQVBxelNpVnVRemRyeDA0a2dGTlBkTXhDdE1zT2ZjZWt1SkNvRzNoazJXcUdPT29UN3ozUFBCV3pzR2NISWxPQkVWRk5BY1o0bEV2Q1o?oc=5
